Time,Current,Theta_m,Q_load,Speed,DotQ,Delta_Theta,Tau_m
0,0,0,0,0,0,0,0
0.001,0.47529626246991,4.01015832933528e-11,4.3876442814771e-16,1.03060704731786e-08,1.38187572072227e-12,3.96606614713959e-13,0.026174565174218
0.002,0.941307456677883,1.33847653279882e-07,2.62681537208186e-13,0.00141734846168579,3.65579488111512e-09,1.32496160836261e-09,0.051837801639251
0.003,1.3981875355766,1.23106359304205e-05,1.28792270874958e-10,0.0286007503408822,4.22236687977275e-07,1.21758692188734e-07,0.0769981875842034
0.004,1.84604193771478,6.83005854347766e-05,1.52156355424911e-09,0.08867673927891,2.81810053266451e-06,6.74721856592054e-07,0.101661529509953
0.005,2.28497399308631,0.000199912262572902,7.2387598324791e-09,0.179498907791316,9.64939938005735e-06,1.97209057257249e-06,0.125833517799263
0.006,2.71508982270904,0.000436853243830171,2.335237518834e-08,0.298988275162606,2.41219962287488e-05,4.30192726669454e-06,0.149519996536587
0.007,3.13649820758921,0.000806773591394311,5.93290094119401e-08,0.445133263238964,5.01393302254015e-05,7.9285283311258e-06,0.172726956291938
0.008,3.54931031002021,0.00133535581208366,1.28964026992474e-07,0.615989640663897,9.21975322512393e-05,1.30923806471031e-05,0.195460518772813
0.009,3.95363952871035,0.00204636405649266,2.50747802001138e-07,0.809680455100062,0.000155330364632098,2.00102824603025e-05,0.217726928846079
0.01,4.34960126412956,0.00296172365522432,4.48465851273467e-07,1.02439590844437,0.000245020533953916,2.88755307351059e-05,0.239532541615615
0.011,4.73731273983411,0.00410158293428237,7.51593962911098e-07,1.2583932226475,0.000367132389864188,3.98581380596867e-05,0.260883812582664
0.012,5.11689282303722,0.0054843774110271,1.19559060008926e-06,1.50999643012352,0.000527844947572204,5.31051758457236e-05,0.28178728776466
0.013,5.48846180526283,0.0071269076785395,1.82228389287514e-06,1.77759612696638,0.000733570134340858,6.8741158468902e-05,0.302249591615824
0.014,5.85214127857703,0.00904438654968305,2.67993360673502e-06,2.05964919548641,0.000990908219029267,8.68684480732951e-05,0.322277420211237
0.015,6.20805388511056,0.011250530910718,3.82353125584602e-06,2.35467838687185,0.00130655611288157,0.000107567863899778,0.341877527453039
0.016,6.5563232282523,0.0137575977570672,5.31473928813381e-06,2.66127199158876,0.00168727733691832,0.000130899099890749,0.361056720179854
0.017,6.89707362195748,0.0165764797267103,7.22201920639803e-06,2.97808322374361,0.00213981304277489,0.000156901542444199,0.379821844361198
0.018,7.2304299998879,0.0197167427504102,9.62053549335021e-06,3.30382981346171,0.00267085255555348,0.000185594739263186,0.398179780093826
0.019,7.55651770547229,0.0231867099700084,1.25920807831861e-05,3.63729324032201,0.0032869627582169,0.000216979305058481,0.416137430040359
0.02,7.87546235868752,0.0269935167103828,1.62249501416306e-05,3.97731812659905,0.00399454522904436,0.000251037591545328,0.433701712092922
0.021,8.18738972238179,0.0311431675377592,2.06137317370936e-05,4.32281148244721,0.00479979567969268,0.000287734461706067,0.450879552011565
0.022,8.49242550592362,0.0356406185284555,2.58590693898981e-05,4.67274170654305,0.00570864259157959,0.000327018341782928,0.467677872611214
0.023,8.79069530456594,0.0404898062897513,3.20674347199145e-05,5.02613798664759,0.0067267332026973,0.000368821736465742,0.484103590422446
0.024,9.08232437672589,0.0456937445666947,3.93507196212658e-05,5.38208889505356,0.007859368525348,0.000413062592920266,0.500163603426295
0.025,9.36743758643098,0.0512545524959784,4.78259966323531e-05,5.73974174304657,0.00911149142168695,0.000459644820159512,0.515864787884754
0.026,9.64615924435304,0.0571735277623743,5.76150609498162e-05,6.09830120717061,0.0104876466409314,0.000508459471350919,0.531213989586522
0.027,9.91861296865326,0.0634512115458563,6.8843994622946e-05,6.45702804408034,0.0119919472692785,0.00055938582266276,0.546218016183735
0.028,10.1849216420884,0.070087412236359,8.16428961104615e-05,6.81523834517069,0.0136280704684256,0.000612291878506954,0.56088363482981
0.029,10.4452072065265,0.0770813037468955,9.61451520421774e-05,7.1723014048978,0.0153992120033882,0.000667036073174609,0.575217560863413
0.03,10.6995906303781,0.0844314448303195,0.00011248719087044,7.52763901929287,0.0173080853615694,0.000723467708439654,0.589226456014924
0.031,10.9481918128513,0.0921358295472355,0.000130807988647275,7.88072402846382,0.0193569086108608,0.000781427947463968,0.602916923133721
0.032,11.1911294030641,0.100191979349333,0.000151248238894616,8.23107789553193,0.0215473738163297,0.000840751556643334,0.616295496226739
0.033,11.4285208117629,0.10859694246947,0.000173950237433457,8.57827031840898,0.0238806584348375,0.000901267014739509,0.629368641103785
0.034,11.6604821298648,0.117347340043277,0.000199057375049168,8.92191765461778,0.0263574198219883,0.000962797476864465,0.642142750891655
0.035,11.8871279380731,0.126439469515484,0.000226713064811133,9.26167970933887,0.0289777744538549,0.00102516287098574,0.654624135549688
